ID,YLD_BUPA,TW_LBBU,HD_JUL,HT_IN,PMD09,LFRUST09,FHB09
LINE299,85.99,57.38,118.69,33.58,0.00,NA,NA
LINE3,74.57,57.86,117.23,35.59,2.49,NA,3.00
LINE30,87.41,58.94,119.75,32.97,0.21,0.94,1.00
LINE300,86.97,58.01,121.86,36.83,#N/A,#N/A,2.00
LINE301,84.35,55.06,119.65,32.83,0.48,0.84,NA
LINE302,79.69,54.87,121.56,36.04,1.15,5.32,NA
LINE303,68.08,57.37,120.08,34.05,0.48,NA,NA
LINE304,68.69,59.32,120.39,36.09,0.48,NA,NA
LINE305,71.65,57.94,119.34,35.88,0.98,NA,NA
LINE306,73.02,59.47,118.23,34.44,1.98,NA,NA
LINE307,55.83,56.17,115.82,32.57,3.48,NA,NA
LINE308,82.44,58.28,119.83,31.21,1.48,NA,NA
LINE309,66.78,57.63,115.00,33.27,0.98,NA,NA
LINE31,94.97,58.69,120.19,33.64,1.71,0.69,2.00
LINE310,77.24,58.46,114.91,31.60,1.48,NA,NA
LINE311,70.92,56.26,116.84,33.96,2.48,NA,NA
LINE312,63.23,57.69,118.28,32.46,0.00,NA,NA
LINE313,65.53,56.07,115.86,32.23,3.48,NA,NA
LINE314,69.05,57.57,116.37,32.87,0.00,NA,NA
LINE315,58.37,50.34,129.87,36.66,3.48,NA,NA
LINE316,75.52,58.06,122.28,35.59,3.98,NA,NA
LINE317,60.72,56.76,122.24,36.66,0.00,NA,NA
LINE318,77.91,56.88,121.59,34.25,0.48,NA,NA
LINE319,64.21,59.30,120.72,37.12,2.48,NA,NA
LINE32,73.40,56.33,118.52,32.65,1.56,1.13,NA
LINE320,66.45,56.80,117.95,31.72,1.56,1.63,NA
LINE321,58.08,50.62,118.41,30.56,1.56,1.13,NA
LINE322,81.83,58.16,116.89,32.08,1.89,0.14,NA
LINE323,77.14,57.86,117.59,32.03,NA,NA,2.00
LINE324,73.76,55.08,118.51,32.60,0.79,0.82,3.00
LINE325,74.59,56.56,118.88,33.04,0.29,0.07,2.00
LINE326,83.31,56.59,115.17,33.69,1.46,1.59,NA
LINE327,84.42,57.37,115.89,33.81,1.22,0.00,NA
LINE328,71.32,55.90,112.64,32.28,2.72,2.14,NA
LINE329,NA,NA,118.45,34.20,2.30,0.00,5.50
LINE33,86.00,57.97,117.98,35.86,2.46,0.94,1.00
LINE330,NA,NA,119.45,34.20,3.30,0.00,5.00
LINE331,NA,NA,119.45,34.20,1.80,0.00,5.00
LINE332,NA,NA,113.45,27.70,1.30,0.00,5.00
LINE333,NA,NA,115.45,29.70,1.30,0.00,5.00
LINE334,NA,NA,115.95,32.20,3.30,0.00,5.00
LINE335,83.39,58.39,117.18,30.03,1.29,1.32,2.50
LINE336,NA,NA,114.95,29.70,1.30,0.00,3.50
LINE337,NA,NA,110.95,29.70,2.30,0.00,4.00
LINE338,NA,NA,119.45,37.70,1.30,0.00,6.50
LINE339,83.48,55.55,114.01,34.90,1.22,3.64,NA
LINE34,84.11,54.37,118.87,33.98,1.56,1.13,NA
LINE340,74.88,56.93,111.51,30.56,3.72,3.14,NA
LINE341,78.64,56.32,115.01,32.50,3.39,1.89,NA
LINE342,84.28,57.42,119.26,32.29,1.55,1.39,NA
LINE343,79.29,56.73,115.26,33.01,2.05,0.89,NA
LINE344,72.10,57.54,112.94,33.18,2.05,1.32,NA
LINE345,71.54,57.58,112.41,34.30,2.15,0.82,NA
LINE346,76.51,55.85,114.22,35.16,3.31,1.18,3.00
LINE347,81.78,58.08,118.49,34.46,3.40,0.79,NA
LINE348,76.64,56.92,116.18,36.22,4.08,0.72,2.50
LINE349,82.12,57.43,113.93,35.49,0.56,0.68,6.00
LINE35,84.24,57.57,118.49,32.41,1.56,1.38,NA
LINE350,78.72,55.49,116.22,28.33,NA,1.81,NA
LINE351,76.11,56.48,119.29,33.91,3.06,1.18,1.50
LINE352,84.67,56.31,117.36,36.02,0.81,0.68,2.00
LINE353,80.58,55.68,118.72,32.59,2.31,1.18,2.00
LINE354,81.05,57.47,114.43,31.93,1.06,0.68,3.50
LINE355,79.21,56.99,113.35,32.76,0.74,0.39,3.50
LINE356,80.86,54.60,114.12,31.19,3.12,1.25,NA
LINE357,65.60,55.48,114.45,32.18,1.12,0.75,NA
LINE358,66.93,54.91,117.79,32.37,1.62,3.00,NA
LINE359,77.76,57.00,116.86,34.62,0.96,2.09,NA
LINE36,82.04,57.60,119.47,31.79,1.56,1.38,NA
LINE360,76.40,56.26,117.86,32.93,1.04,1.86,NA
LINE361,75.66,57.22,117.62,35.49,2.62,0.75,NA
LINE362,74.43,57.12,119.34,33.39,NA,4.81,NA
LINE363,74.16,55.82,121.51,31.45,0.54,1.45,3.00
LINE364,76.68,55.92,118.45,30.67,0.62,1.00,NA
LINE365,80.87,56.30,116.79,32.84,1.12,0.75,NA
LINE366,79.92,56.65,114.62,30.99,0.62,0.25,NA
LINE367,79.69,56.03,115.86,33.70,0.96,2.09,NA
LINE368,81.62,55.84,115.79,33.57,0.62,2.25,NA
LINE369,71.96,55.41,119.58,36.56,0.54,1.32,2.00
